                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    119,                 1.1748,                0.97741,                 1.4083,                0.62197,                0.61735,                0.64429,                0.39715,                 1.3752,                  1.159,                 1.6083,             0.00055421,             0.00055421,             0.00055421
                    120,                 1.1848,                0.96979,                 1.4184,                0.62014,                0.62033,                0.63979,                0.39353,                 1.3691,                 1.1707,                 1.6166,             0.00054478,             0.00054478,             0.00054478
                    121,                 1.1794,                0.97996,                 1.4085,                0.63704,                0.60807,                 0.6444,                0.39893,                 1.3638,                 1.1564,                 1.6079,             0.00053535,             0.00053535,             0.00053535
                    122,                 1.1682,                0.96902,                 1.4037,                0.62835,                0.60774,                0.63708,                0.39078,                 1.3702,                 1.1789,                 1.6173,             0.00052591,             0.00052591,             0.00052591
                    123,                 1.1599,                 0.9516,                 1.3916,                0.63438,                0.60044,                0.64088,                0.39717,                 1.3634,                 1.1643,                 1.6155,             0.00051648,             0.00051648,             0.00051648
                    124,                 1.1705,                0.95208,                 1.4025,                0.62553,                0.63215,                0.64558,                0.39304,                 1.3865,                 1.1605,                 1.6161,             0.00050705,             0.00050705,             0.00050705
                    125,                 1.1558,                0.95106,                 1.3921,                0.64047,                 0.6087,                0.64669,                0.39832,                 1.3694,                 1.1483,                 1.6077,             0.00049762,             0.00049762,             0.00049762
                    126,                 1.1508,                0.94817,                 1.3963,                0.63622,                0.61049,                0.64453,                0.39599,                 1.3765,                  1.169,                 1.6104,             0.00048819,             0.00048819,             0.00048819
                    127,                 1.1669,                0.96629,                 1.4059,                0.62574,                0.61062,                0.64758,                0.39982,                 1.3658,                 1.1515,                 1.6108,             0.00047876,             0.00047876,             0.00047876
                    128,                 1.1534,                0.95417,                 1.3965,                0.61724,                0.61136,                 0.6414,                0.40095,                 1.3635,                 1.1557,                  1.604,             0.00046933,             0.00046933,             0.00046933
                    129,                 1.1516,                0.94571,                 1.3996,                0.62066,                0.61467,                0.63913,                0.39807,                 1.3542,                 1.1607,                 1.6021,              0.0004599,              0.0004599,              0.0004599
                    130,                 1.1457,                0.93516,                 1.3844,                0.62858,                0.60578,                 0.6375,                0.39133,                 1.3776,                  1.165,                 1.6171,             0.00045047,             0.00045047,             0.00045047
                    131,                 1.1511,                0.95851,                 1.3887,                0.63615,                0.61426,                0.64468,                 0.3995,                 1.3627,                 1.1567,                  1.614,             0.00044104,             0.00044104,             0.00044104
                    132,                 1.1361,                0.93226,                 1.3865,                0.61783,                 0.6233,                 0.6396,                0.39385,                 1.3893,                 1.1776,                 1.6295,             0.00043161,             0.00043161,             0.00043161
                    133,                 1.1203,                0.91068,                 1.3826,                0.61205,                0.63803,                0.64339,                0.39809,                  1.373,                  1.156,                 1.6205,             0.00042218,             0.00042218,             0.00042218
                    134,                 1.1415,                0.92018,                 1.3821,                0.63842,                0.60707,                0.64502,                0.39479,                 1.3878,                 1.1594,                 1.6318,             0.00041275,             0.00041275,             0.00041275
                    135,                 1.1387,                 0.9127,                 1.3835,                0.61457,                0.62252,                0.63918,                0.39409,                 1.3759,                 1.1656,                  1.623,             0.00040332,             0.00040332,             0.00040332
                    136,                 1.1383,                0.91827,                 1.3745,                0.63753,                0.62205,                0.65198,                0.40007,                 1.3759,                  1.145,                 1.6174,             0.00039389,             0.00039389,             0.00039389
